# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/jpsb/git-projects/projeto-labdigi/extra/note_genius.csv
# Generated on: Sat Mar 25 22:43:12 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
chaves[11],Input,PIN_Y8,3,B3_N0,PIN_Y8,2.5 V,,,,,
chaves[10],Input,PIN_AA10,3,B3_N0,PIN_AA10,2.5 V,,,,,
chaves[9],Input,PIN_W11,4,B4_N0,PIN_W11,2.5 V,,,,,
chaves[8],Input,PIN_Y11,4,B4_N0,PIN_Y11,2.5 V,,,,,
chaves[7],Input,PIN_AB13,4,B4_N0,PIN_AB13,2.5 V,,,,,
chaves[6],Input,PIN_W13,4,B4_N0,PIN_W13,2.5 V,,,,,
chaves[5],Input,PIN_AA15,4,B4_N0,PIN_AA15,2.5 V,,,,,
chaves[4],Input,PIN_V5,3,B3_N0,PIN_V5,2.5 V,,,,,
chaves[3],Input,PIN_W7,3,B3_N0,PIN_W7,2.5 V,,,,,
chaves[2],Input,PIN_W8,3,B3_N0,PIN_W8,2.5 V,,,,,
chaves[1],Input,PIN_W9,3,B3_N0,PIN_W9,2.5 V,,,,,
chaves[0],Input,PIN_W10,3,B3_N0,PIN_W10,2.5 V,,,,,
clock,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
db_estado[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
db_estado[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
db_estado[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
