# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/jpsb/git-projects/projeto-labdigi/wiring/note_genius.csv
# Generated on: Wed Mar 22 22:16:44 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
chaves[11],Input,PIN_P18,5A,B5A_N0,,,,,,,,,,,,,,
chaves[10],Input,PIN_K17,5B,B5B_N0,,,,,,,,,,,,,,
chaves[9],Input,PIN_L17,5B,B5B_N0,,,,,,,,,,,,,,
chaves[8],Input,PIN_M18,5B,B5B_N0,,,,,,,,,,,,,,
chaves[7],Input,PIN_P17,5A,B5A_N0,,,,,,,,,,,,,,
chaves[6],Input,PIN_P19,5A,B5A_N0,,,,,,,,,,,,,,
chaves[5],Input,PIN_N19,5B,B5B_N0,,,,,,,,,,,,,,
chaves[4],Input,PIN_T22,5A,B5A_N0,,,,,,,,,,,,,,
chaves[3],Input,PIN_R22,5A,B5A_N0,,,,,,,,,,,,,,
chaves[2],Input,PIN_M21,5B,B5B_N0,,,,,,,,,,,,,,
chaves[1],Input,PIN_K22,5B,B5B_N0,,,,,,,,,,,,,,
chaves[0],Input,PIN_K20,7A,B7A_N0,,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,,,,,,,,,,,,,,
clock_nota,Input,PIN_M9,3B,B3B_N0,,,,,,,,,,,,,,
db_estado[6],Output,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[5],Output,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[4],Output,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[3],Output,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[2],Output,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
db_estado[1],Output,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[0],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[6],Output,PIN_V19,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[5],Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[4],Output,PIN_U17,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[3],Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[2],Output,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[1],Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada[0],Output,PIN_Y16,4A,B4A_N0,,,,,,,,,,,,,,
db_nota[11],Output,PIN_F15,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[10],Output,PIN_E16,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[9],Output,PIN_E14,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[8],Output,PIN_B15,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[7],Output,PIN_L8,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[6],Output,PIN_A15,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[5],Output,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[4],Output,PIN_G11,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[3],Output,PIN_J18,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[2],Output,PIN_G17,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[1],Output,PIN_D13,7A,B7A_N0,,,,,,,,,,,,,,
db_nota[0],Output,PIN_B13,7A,B7A_N0,,,,,,,,,,,,,,
db_nota_aleatoria[6],Output,PIN_P9,3B,B3B_N0,,,,,,,,,,,,,,
db_nota_aleatoria[5],Output,PIN_Y15,4A,B4A_N0,,,,,,,,,,,,,,
db_nota_aleatoria[4],Output,PIN_U15,4A,B4A_N0,,,,,,,,,,,,,,
db_nota_aleatoria[3],Output,PIN_U16,4A,B4A_N0,,,,,,,,,,,,,,
db_nota_aleatoria[2],Output,PIN_V20,4A,B4A_N0,,,,,,,,,,,,,,
